epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05662,2.2264,4.18312,2.65851,0.00167,1,0.05853,0.01236,1.98165,5.33931,2.63006,2e-05,2e-05,2e-05
2,2.56457,2.21867,3.74819,2.46054,0.00167,1,0.06633,0.01392,1.94472,5.33136,2.67309,5.8812e-05,5.8812e-05,5.8812e-05
3,3.11766,2.20127,4.01962,2.58328,0.00167,1,0.07107,0.01493,2.02064,5.12608,2.6612,9.604e-05,9.604e-05,9.604e-05
4,3.68265,0.74277,13.0963,0.97503,0.00167,1,0.199,0.02223,1.198,4.32582,2.04056,0.000131684,0.000131684,0.000131684
5,4.28277,1.89151,3.78455,2.14372,0.00167,1,0.24875,0.03275,0.91394,4.36361,1.73332,0.000165744,0.000165744,0.000165744
6,4.86144,1.52551,3.52412,1.84587,0.00167,1,0.995,0.32219,0.96361,4.25689,1.36169,0.00019822,0.00019822,0.00019822
7,5.42383,1.24735,3.50413,1.56089,0.00167,1,0.995,0.4975,1.00423,3.87824,1.23917,0.000229112,0.000229112,0.000229112
8,5.9623,1.21096,2.87573,1.46328,0.00167,1,0.4975,0.24921,0.95006,3.8406,1.20966,0.00025842,0.00025842,0.00025842
9,6.5501,1.19002,3.01526,1.30811,0.00167,1,0.995,0.59916,1.08739,3.75996,1.1831,0.000286144,0.000286144,0.000286144
10,7.20379,1.10267,2.30597,1.22923,0.00167,1,0.995,0.50008,0.94223,3.82198,1.23451,0.000312284,0.000312284,0.000312284
11,7.77639,1.12548,2.15601,1.22293,0.00167,1,0.4975,0.398,0.66806,3.30283,1.01025,0.00033684,0.00033684,0.00033684
12,8.37923,1.33782,1.8358,1.33644,0.00167,1,0.4975,0.398,0.66806,3.30283,1.01025,0.000359812,0.000359812,0.000359812
13,8.99036,1.21162,1.97749,1.41468,0.0042,1,0.995,0.6965,0.95036,3.54898,1.14558,0.0003812,0.0003812,0.0003812
