epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57915,2.18466,3.86598,2.47285,0.00167,1,0.05853,0.01232,1.96848,5.3392,2.62613,0,0,0
2,7.52974,2.05741,3.63651,2.2927,0.00167,1,0.05853,0.01234,1.99301,5.30217,2.63027,1.9604e-05,1.9604e-05,1.9604e-05
3,8.00893,2.23127,3.66395,2.35655,0.00167,1,0.05528,0.01164,1.94985,5.3281,2.65671,3.8416e-05,3.8416e-05,3.8416e-05
4,8.47294,2.20486,3.98253,2.42148,0.00167,1,0.07107,0.01483,1.96993,5.29257,2.66143,5.6436e-05,5.6436e-05,5.6436e-05
5,8.97358,2.03898,3.7437,2.31491,0.00167,1,0.06219,0.01244,2.01329,5.23636,2.66702,7.3664e-05,7.3664e-05,7.3664e-05
6,9.43733,2.29479,4.61325,2.77229,0.00167,1,0.0995,0.03029,1.79144,5.2131,2.18142,9.01e-05,9.01e-05,9.01e-05
7,9.94971,2.17881,3.74412,2.19568,0.00167,1,0.08292,0.02505,1.77969,5.22335,2.17922,0.000105744,0.000105744,0.000105744
8,10.5081,1.69937,3.69636,1.9762,0.00167,1,0.0995,0.03121,1.61426,5.58384,1.99124,0.000120596,0.000120596,0.000120596
9,11.1103,1.68328,3.42925,1.93007,0.00167,1,0.11056,0.04466,1.56123,4.63153,1.93629,0.000134656,0.000134656,0.000134656
10,11.6642,1.42532,3.24038,1.62812,0.00167,1,0.33167,0.16763,1.37256,4.45718,1.80881,0.000147924,0.000147924,0.000147924
11,12.2664,1.14266,3.06561,1.43037,0.00167,1,0.33167,0.199,1.4763,4.01289,1.64675,0.0001604,0.0001604,0.0001604
12,12.8852,1.23211,2.68915,1.28604,0.00167,1,0.4975,0.44775,1.27398,4.14323,1.29367,0.000172084,0.000172084,0.000172084
13,13.5049,1.2096,2.29471,1.19971,0.00167,1,0.4975,0.44775,1.05958,3.79814,1.22896,0.000182976,0.000182976,0.000182976
14,14.1563,1.40859,2.33786,1.34185,0.00167,1,0.33167,0.26533,0.9867,3.62548,1.1879,0.000193076,0.000193076,0.000193076
15,14.8098,1.2217,2.0469,1.20685,0.00167,1,0.33167,0.2985,0.63277,3.32942,1.09691,0.000202384,0.000202384,0.000202384
16,15.3513,1.486,1.92856,1.44819,0.00167,1,0.33167,0.2985,0.54476,3.17515,1.04941,0.0002109,0.0002109,0.0002109
17,16.5295,1.03092,1.56462,1.09394,0.00167,1,0.4975,0.4975,0.36275,3.14,1.01547,0.000218624,0.000218624,0.000218624
18,17.2325,1.23773,1.54148,1.11421,0.00167,1,0.4975,0.4975,0.36275,3.14,1.01547,0.000225556,0.000225556,0.000225556
19,17.9672,1.25142,1.83125,1.23952,0.00167,1,0.4975,0.44775,0.528,3.12371,1.02562,0.000231696,0.000231696,0.000231696
20,18.5425,1.15831,1.90923,1.22086,0.00167,1,0.4975,0.44775,0.528,3.12371,1.02562,0.000237044,0.000237044,0.000237044
21,19.1554,1.06464,1.42763,1.05026,0.00167,1,0.4975,0.398,0.73865,3.19864,1.05381,0.0002416,0.0002416,0.0002416
22,19.6866,1.18278,1.3977,1.18887,0.00167,1,0.4975,0.398,0.73865,3.19864,1.05381,0.000245364,0.000245364,0.000245364
23,20.3,1.04485,1.40664,1.09776,0.00167,1,0.4975,0.398,0.69208,3.16009,1.04731,0.000248336,0.000248336,0.000248336
24,20.7392,1.18239,1.51346,1.16945,0.00167,1,0.4975,0.398,0.69208,3.16009,1.04731,0.000250516,0.000250516,0.000250516
25,21.258,1.04274,1.9273,1.03419,0.00167,1,0.995,0.796,0.63113,3.19659,1.00957,0.000251904,0.000251904,0.000251904
26,21.7522,0.9968,1.70848,1.06677,0.00167,1,0.995,0.796,0.63113,3.19659,1.00957,0.0002525,0.0002525,0.0002525
